waypoint_id,x,y,z,source_viewpoint_id
181,59.3693,-143.8045,90.3000,181
182,60.3000,-143.5000,90.1000,182
183,65.1955,-146.1693,90.3000,183
184,65.1803,-146.2927,93.3000,184
185,64.0055,-149.1441,93.3000,185
186,62.8307,-151.9955,93.3000,186
187,57.2230,-151.9770,93.1000,187
188,57.2045,-146.3693,93.3000,188
189,21.1000,-140.1000,93.3000,189
190,16.9000,-145.9000,93.3000,190
191,12.8045,-141.8307,93.1000,191
192,-40.0804,-136.0585,93.5000,192
193,-44.0307,-126.4045,93.3000,193
194,-40.7693,-126.4045,96.3000,194
195,-46.3955,-132.0307,96.1000,195
196,-38.4045,-128.5693,96.5000,196
197,13.0045,-141.8307,96.3000,197
198,14.1869,-143.0131,96.3000,198
199,16.9000,-135.7000,96.3000,199
200,21.5000,-140.3000,96.3000,200
201,56.9000,-148.1000,96.3000,201
202,59.5693,-151.9955,96.3000,202
203,62.4346,-150.0478,96.3000,203
204,59.5693,-151.9955,99.3000,204
205,58.2716,-151.1284,99.9000,205
206,64.9955,-146.5693,100.1000,206
207,64.9955,-146.5693,99.3000,207
208,61.1000,-143.9000,99.3000,208
209,21.1651,-138.6162,99.3000,209
210,16.9000,-144.5000,99.1000,210
211,-38.3000,-130.3000,100.1000,211
212,-38.3000,-130.3000,99.3000,212
213,-41.1654,-132.2478,99.3000,213
214,-43.2488,-133.7620,100.1000,214
215,-44.0307,-134.1955,99.3000,215
216,-45.5284,-133.3284,100.1000,216
217,-46.7000,-130.3000,99.3000,217
218,-44.0307,-126.4045,99.3000,218
219,-42.5000,-126.1000,100.1000,219
