mission_waypoint_id,role,device,device_type,region,device_order_index,x,y,z,yaw_deg,pitch_deg,roll_deg,target_x,target_y,target_z,source_phase2_viewpoint_id,source_phase2_row_index
68,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,53.1000,-133.4000,77.5000,-90.00,0.00,0.00,53.1000,-139.5000,77.5000,13,13
69,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,59.1000,-134.2000,77.5000,-90.00,0.00,0.00,59.1000,-138.3000,77.5000,14,14
70,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,63.4422,-139.3014,77.5000,-157.50,0.00,0.00,59.1000,-141.1000,77.5000,15,15
71,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,63.2000,-141.9000,77.7000,180.00,0.00,0.00,59.1000,-141.9000,77.7000,16,16
72,inspect_capture,tube2,tube,region_shelf2_tube2_shelf3,1,65.0000,-144.1000,77.7000,180.00,0.00,0.00,58.5000,-144.1000,77.7000,17,17
73,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,31.1645,-148.2355,78.1000,45.00,0.00,0.00,34.7000,-144.7000,78.1000,0,0
74,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,64.6698,-143.7302,78.3000,-135.00,0.00,0.00,61.7000,-146.7000,78.3000,1,1
75,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,67.3976,-146.1743,78.3000,-157.50,0.00,0.00,61.3000,-148.7000,78.3000,2,2
76,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,67.4128,-149.7492,78.3000,157.50,0.00,0.00,61.5000,-147.3000,78.3000,3,3
77,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,59.1369,-153.1346,78.3000,112.50,0.00,0.00,57.3000,-148.7000,78.3000,4,4
78,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,57.3369,-152.7346,78.3000,112.50,0.00,0.00,55.5000,-148.3000,78.3000,5,5
79,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,55.9743,-152.3976,78.5000,67.50,0.00,0.00,58.5000,-146.3000,78.5000,6,6
80,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,52.7669,-151.7669,78.1000,135.00,0.00,0.00,48.1000,-147.1000,78.1000,8,8
81,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,50.1000,-151.5000,78.3000,90.00,0.00,0.00,50.1000,-147.5000,78.3000,9,9
82,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,35.8328,-148.7788,78.5000,22.50,0.00,0.00,42.3000,-146.1000,78.5000,13,13
83,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,34.5022,-148.7824,78.3000,112.50,0.00,0.00,31.9000,-142.5000,78.3000,16,16
84,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,22.1059,-146.6941,78.5000,45.00,0.00,0.00,25.5000,-143.3000,78.5000,20,20
85,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,20.3369,-146.5346,78.1000,112.50,0.00,0.00,18.5000,-142.1000,78.1000,21,21
86,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,16.8473,-145.5527,78.1000,45.00,0.00,0.00,20.1000,-142.3000,78.1000,25,25
87,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,12.6045,-143.0307,78.1000,22.50,0.00,0.00,16.3000,-141.5000,78.1000,26,26
88,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,11.8806,-141.6134,78.3000,22.50,0.00,0.00,16.5000,-139.7000,78.3000,27,27
89,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,5.7527,-140.7527,78.5000,135.00,0.00,0.00,2.5000,-137.5000,78.5000,28,28
90,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,3.6307,-142.7955,78.3000,112.50,0.00,0.00,2.1000,-139.1000,78.3000,29,29
91,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,-2.1955,-140.4307,78.3000,22.50,0.00,0.00,1.5000,-138.9000,78.3000,30,30
92,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,-2.3651,-138.7838,78.3000,22.50,0.00,0.00,1.7000,-137.1000,78.3000,31,31
93,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,-10.1570,-139.8737,78.3000,112.50,0.00,0.00,-12.3000,-134.7000,78.3000,32,32
94,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,-16.1284,-139.3284,78.5000,45.00,0.00,0.00,-13.3000,-136.5000,78.5000,33,33
95,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,-17.1498,-136.4603,78.3000,22.50,0.00,0.00,-12.9000,-134.7000,78.3000,34,34
96,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,-23.6230,-137.7770,78.1000,135.00,0.00,0.00,-27.3000,-134.1000,78.1000,35,35
97,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,-25.3845,-137.5415,78.3000,144.74,0.00,0.00,-31.1000,-133.5000,78.3000,36,36
98,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,-32.9527,-137.1527,78.1000,45.00,0.00,0.00,-29.7000,-133.9000,78.1000,37,37
99,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,-34.1022,-137.1824,78.3000,67.50,0.00,0.00,-31.5000,-130.9000,78.3000,39,39
100,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,-35.0941,-136.8941,78.1000,45.00,0.00,0.00,-31.7000,-133.5000,78.1000,40,40
101,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,-46.0900,-135.3042,78.5000,67.50,0.00,0.00,-44.1000,-130.5000,78.5000,43,43
