waypoint_id,x,y,z
294,33.1204,-90.7109,77.7000
295,33.2000,-91.9000,77.5000
296,32.2422,-97.2986,77.3000
297,31.6575,-100.6221,77.7000
298,-8.1790,-98.7790,77.5000
299,-7.6291,-91.9701,77.7000
300,-7.2595,-90.6171,77.5000
301,-5.6619,-82.3381,77.5000
302,-5.4033,-80.7967,77.7000
303,-5.0619,-79.3381,77.7000
304,-4.2376,-77.9624,77.5000
305,-0.2936,-76.3557,77.7000
306,4.9952,-78.8187,77.7000
307,7.5000,-79.0000,77.5000
308,9.7751,-79.5730,77.5000
309,11.9000,-79.6000,77.5000
310,16.3829,-79.3405,77.7000
311,17.4033,-79.3967,77.5000
312,18.3000,-80.0000,77.5000
313,20.3000,-81.4000,77.5000
314,23.4171,-82.1405,77.5000
315,24.5751,-81.9730,77.3000
316,26.3216,-82.0130,77.5000
317,22.2171,-81.7405,77.3000
318,1.5059,-75.8941,78.3000
319,-1.5824,-74.5022,78.7000
320,5.2978,-76.5824,78.3000
321,10.5000,-77.5000,78.3000
322,16.7415,-77.5196,78.5000
323,18.1745,-77.4255,78.5000
324,22.1059,-79.4941,78.3000
325,28.3000,-80.5000,78.3000
326,26.4978,-80.1824,81.3000
327,22.1059,-79.4941,81.5000
328,16.1955,-75.0307,81.3000
329,13.2841,-77.4841,81.3000
330,9.9669,-77.1669,81.5000
331,8.3059,-77.0941,81.3000
332,6.1000,-76.5000,81.3000
333,4.7059,-76.4941,81.3000
334,8.5000,-76.5000,83.5000
335,16.3955,-73.2307,83.5000
336,18.2197,-74.7073,83.5000
337,22.3000,-78.9000,83.5000
338,23.6631,-78.7346,83.5000
339,24.8917,-79.3083,83.5000
340,29.7000,-80.5000,83.5000
341,33.0113,-70.9887,83.5000
342,25.7000,-69.5000,83.5000
343,16.3955,-69.7693,83.7000
344,15.1672,-68.0212,83.7000
345,10.3073,-66.6197,83.5000
346,8.6941,-66.5059,83.5000
347,1.7887,-66.7887,83.5000
348,37.1000,-76.2000,77.5000
349,44.1770,-79.5675,77.5000
350,46.5360,-80.6900,77.5000
351,65.2727,-74.1455,77.7000
352,64.2002,-65.0552,77.7000
353,63.6640,-60.5100,77.7000
354,49.5000,-57.8000,77.9000
355,42.5000,-75.8000,77.5000
356,15.3000,-59.2000,77.5000
357,0.7455,-55.3273,77.5000
358,-11.6986,-54.7578,77.5000
359,-14.9360,-54.1100,77.7000
360,-17.4221,-53.9425,77.7000
361,-27.5031,-61.9925,77.5000
362,-23.7000,-64.6000,77.5000
363,-20.5000,-64.8000,77.7000
364,-17.3000,-65.4000,77.5000
365,-16.1000,-65.8000,77.5000
366,-14.5455,-66.0727,77.7000
367,-12.6577,-67.6577,77.5000
368,-5.6344,-69.3357,77.7000
369,-1.7000,-70.0000,77.5000
370,28.5000,-54.4000,80.7000
371,-20.9000,-52.1000,78.5000
372,-27.1772,-52.2640,78.7000
373,-27.3000,-56.7000,78.7000
374,-30.7284,-55.3284,78.7000
375,-33.5672,-52.3788,78.7000
376,-34.2395,-51.2102,78.7000
377,-30.1000,-44.5000,78.7000
378,-1.7693,-49.6045,78.7000
379,0.5955,-55.2307,78.7000
380,1.7000,-56.1000,78.7000
381,15.4654,-59.3369,78.5000
382,19.7000,-52.9000,78.7000
383,24.1866,-53.4806,78.7000
384,25.5000,-53.9000,78.7000
385,32.7824,-55.4978,78.7000
386,34.3000,-55.3000,78.5000
387,39.5397,-56.2502,78.7000
388,40.5022,-56.6176,78.5000
389,50.3770,-57.8230,78.7000
390,55.1022,-59.0176,78.9000
391,56.5693,-59.6045,78.7000
392,58.1000,-59.3000,78.7000
393,65.5866,-60.4806,78.5000
394,72.1498,-63.5397,78.7000
395,67.3000,-72.7000,78.7000
396,67.5000,-72.3000,81.7000
397,69.3000,-61.9000,81.7000
398,67.3000,-61.1000,81.9000
399,65.3000,-60.5000,81.5000
400,57.0941,-59.3059,81.5000
