mission_waypoint_id,role,device,device_type,region,device_order_index,x,y,z,yaw_deg,pitch_deg,roll_deg,target_x,target_y,target_z,source_phase2_viewpoint_id,source_phase2_row_index
74,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,-48.4026,-128.5069,79.7663,-22.62,0.00,0.00,-44.1000,-130.3000,80.1000,27,27
75,inspect_capture,shelf2,shelf,region_shelf2_tube2_shelf3,2,-48.4026,-131.2069,76.7663,-6.85,0.00,0.00,-44.3000,-131.7000,75.3000,28,28
76,inspect_capture,capacitor,capacitor,region_capacitor,3,-46.0026,-121.0069,80.0663,56.02,0.00,0.00,-43.1000,-116.7000,79.3000,38,38
77,inspect_capture,capacitor,capacitor,region_capacitor,3,-45.1026,-120.7069,76.7663,56.33,0.00,0.00,-42.7000,-117.1000,75.1000,33,33
78,inspect_capture,capacitor,capacitor,region_capacitor,3,-34.6026,-122.8069,80.9663,98.80,0.00,0.00,-35.3000,-118.3000,79.1000,30,30
79,inspect_capture,capacitor,capacitor,region_capacitor,3,-31.3026,-113.2069,81.5663,130.52,0.00,0.00,-34.3000,-109.7000,78.3000,29,29
80,inspect_capture,capacitor,capacitor,region_capacitor,3,-28.9026,-119.2069,76.7663,176.49,0.00,0.00,-33.9000,-118.9000,75.1000,28,28
81,inspect_capture,capacitor,capacitor,region_capacitor,3,-30.1026,-115.6069,76.7663,129.90,0.00,0.00,-32.7000,-112.5000,75.1000,27,27
82,inspect_capture,capacitor,capacitor,region_capacitor,3,-30.1026,-110.8069,76.7663,165.23,0.00,0.00,-34.3000,-109.7000,76.3000,26,26
83,inspect_capture,capacitor,capacitor,region_capacitor,3,-28.9026,-110.5069,76.7663,147.89,0.00,0.00,-32.1000,-108.5000,75.1000,25,25
84,inspect_capture,capacitor,capacitor,region_capacitor,3,-28.8172,-109.0988,77.4943,158.12,0.00,0.00,-32.3000,-107.7000,76.9000,24,24
85,inspect_capture,capacitor,capacitor,region_capacitor,3,-29.8615,-109.8620,79.3501,149.89,0.00,0.00,-32.9000,-108.1000,77.9000,23,23
86,inspect_capture,capacitor,capacitor,region_capacitor,3,-28.9026,-107.8069,79.7663,165.85,0.00,0.00,-32.5000,-106.9000,77.9000,22,22
87,inspect_capture,capacitor,capacitor,region_capacitor,3,-28.3026,-103.3069,79.1663,-161.65,0.00,0.00,-31.9000,-104.5000,77.9000,21,21
88,inspect_capture,capacitor,capacitor,region_capacitor,3,-28.4041,-104.3306,77.1338,-168.24,0.00,0.00,-32.1000,-105.1000,76.7000,20,20
89,inspect_capture,capacitor,capacitor,region_capacitor,3,-27.7026,-102.1069,76.7663,-157.70,0.00,0.00,-31.1000,-103.5000,75.1000,19,19
90,inspect_capture,capacitor,capacitor,region_capacitor,3,-27.4026,-94.3069,77.3663,-148.85,0.00,0.00,-30.7000,-96.3000,78.3000,18,18
91,inspect_capture,capacitor,capacitor,region_capacitor,3,-28.0026,-94.0069,76.7663,-135.04,0.00,0.00,-31.3000,-97.3000,76.1000,16,16
92,inspect_capture,capacitor,capacitor,region_capacitor,3,-27.4026,-90.4069,76.7663,-118.51,0.00,0.00,-29.3000,-93.9000,75.3000,15,15
93,inspect_capture,capacitor,capacitor,region_capacitor,3,-31.3452,-89.8828,76.8491,-107.71,0.00,0.00,-32.5000,-93.5000,76.7000,14,14
94,inspect_capture,capacitor,capacitor,region_capacitor,3,-32.8026,-90.1069,78.5663,-88.82,0.00,0.00,-32.7000,-95.1000,78.3000,13,13
95,inspect_capture,capacitor,capacitor,region_capacitor,3,-39.7026,-88.3069,76.7663,-78.05,0.00,0.00,-38.9000,-92.1000,74.7000,11,11
96,inspect_capture,capacitor,capacitor,region_capacitor,3,-42.1026,-97.3069,79.4663,-57.91,0.00,0.00,-40.1000,-100.5000,78.1000,9,9
97,inspect_capture,capacitor,capacitor,region_capacitor,3,-42.7026,-96.4069,78.2663,-54.25,0.00,0.00,-39.9000,-100.3000,76.9000,8,8
98,inspect_capture,capacitor,capacitor,region_capacitor,3,-43.0026,-96.4069,76.7663,-52.77,0.00,0.00,-40.5000,-99.7000,75.1000,7,7
99,inspect_capture,capacitor,capacitor,region_capacitor,3,-44.2026,-101.8069,76.7663,-28.39,0.00,0.00,-40.7000,-103.7000,76.3000,6,6
100,inspect_capture,capacitor,capacitor,region_capacitor,3,-44.2026,-102.7069,77.3663,-23.28,0.00,0.00,-40.5000,-104.3000,76.9000,5,5
101,inspect_capture,capacitor,capacitor,region_capacitor,3,-44.8026,-103.6069,76.7663,-14.31,0.00,0.00,-41.3000,-104.5000,75.1000,4,4
102,inspect_capture,capacitor,capacitor,region_capacitor,3,-44.5026,-110.2069,79.4663,26.64,0.00,0.00,-41.1000,-108.5000,77.9000,3,3
103,inspect_capture,capacitor,capacitor,region_capacitor,3,-45.7026,-110.8069,76.7663,25.35,0.00,0.00,-42.1000,-109.1000,74.7000,0,0
104,inspect_capture,main_transformer,transformer,region_main_transformer,4,-7.9026,-94.3069,76.7663,12.88,0.00,0.00,-3.5000,-93.3000,75.1000,0,0
105,inspect_capture,main_transformer,transformer,region_main_transformer,4,-8.5026,-93.7069,81.5663,2.28,0.00,0.00,-3.3000,-93.5000,80.9000,2,2
106,inspect_capture,main_transformer,transformer,region_main_transformer,4,-7.1616,-94.1385,84.4770,11.13,0.00,0.00,-2.9000,-93.3000,83.3000,3,3
107,inspect_capture,main_transformer,transformer,region_main_transformer,4,-3.7026,-92.5069,88.7663,7.51,0.00,0.00,0.9000,-91.9000,86.5000,4,4
108,inspect_capture,main_transformer,transformer,region_main_transformer,4,-5.8026,-88.3069,91.7663,-5.75,0.00,0.00,-1.9000,-88.7000,89.3000,5,5
109,inspect_capture,main_transformer,transformer,region_main_transformer,4,-6.7026,-87.4069,88.4663,-9.37,0.00,0.00,-2.5000,-88.1000,86.3000,6,6
110,inspect_capture,main_transformer,transformer,region_main_transformer,4,-4.8952,-79.9890,84.4792,-29.08,0.00,0.00,-1.1000,-82.1000,83.3000,7,7
111,inspect_capture,main_transformer,transformer,region_main_transformer,4,-5.5026,-80.8069,81.8663,-28.62,0.00,0.00,-1.3000,-83.1000,81.3000,9,9
112,inspect_capture,main_transformer,transformer,region_main_transformer,4,-4.9026,-79.0069,81.5663,-33.25,0.00,0.00,-1.1000,-81.5000,80.9000,10,10
113,inspect_capture,main_transformer,transformer,region_main_transformer,4,-4.9604,-79.1919,78.1594,-30.87,0.00,0.00,-1.1000,-81.5000,78.3000,11,11
114,inspect_capture,main_transformer,transformer,region_main_transformer,4,-4.9026,-78.7069,76.7663,-34.29,0.00,0.00,-1.1000,-81.3000,75.3000,12,12
115,inspect_capture,main_transformer,transformer,region_main_transformer,4,-5.5026,-81.1069,77.3663,-27.56,0.00,0.00,-1.3000,-83.3000,77.7000,13,13
116,inspect_capture,main_transformer,transformer,region_main_transformer,4,-5.8026,-82.6069,76.7663,-20.94,0.00,0.00,-1.9000,-84.1000,75.1000,14,14
117,inspect_capture,main_transformer,transformer,region_main_transformer,4,7.3974,-79.0069,76.7663,-63.96,0.00,0.00,9.3000,-82.9000,75.3000,15,15
118,inspect_capture,main_transformer,transformer,region_main_transformer,4,9.4974,-79.6069,77.3663,-74.60,0.00,0.00,10.9000,-84.7000,78.3000,16,16
119,inspect_capture,main_transformer,transformer,region_main_transformer,4,10.6974,-79.9069,81.8663,-74.00,0.00,0.00,11.9000,-84.1000,80.5000,17,17
120,inspect_capture,main_transformer,transformer,region_main_transformer,4,15.1805,-80.0524,85.8460,-100.57,0.00,0.00,14.5000,-83.7000,83.3000,18,18
121,inspect_capture,main_transformer,transformer,region_main_transformer,4,18.1974,-79.3069,82.1663,-113.36,0.00,0.00,16.3000,-83.7000,80.9000,19,19
122,inspect_capture,main_transformer,transformer,region_main_transformer,4,15.1974,-79.0069,77.3663,-98.45,0.00,0.00,14.5000,-83.7000,77.9000,20,20
123,inspect_capture,main_transformer,transformer,region_main_transformer,4,18.1974,-79.9069,76.7663,-114.11,0.00,0.00,16.5000,-83.7000,75.3000,21,21
124,inspect_capture,main_transformer,transformer,region_main_transformer,4,23.2974,-82.0069,77.6663,-135.80,0.00,0.00,19.5000,-85.7000,78.3000,22,22
125,inspect_capture,main_transformer,transformer,region_main_transformer,4,25.9974,-82.3069,76.7663,-147.09,0.00,0.00,22.3000,-84.7000,75.3000,23,23
126,inspect_capture,main_transformer,transformer,region_main_transformer,4,34.3974,-85.0069,76.7663,-166.34,0.00,0.00,29.9000,-86.1000,75.3000,24,24
127,inspect_capture,main_transformer,transformer,region_main_transformer,4,33.7974,-86.5069,84.5663,-170.00,0.00,0.00,29.3000,-87.3000,83.3000,27,27
128,inspect_capture,main_transformer,transformer,region_main_transformer,4,29.5974,-88.3069,90.2663,-175.41,0.00,0.00,24.7000,-88.7000,86.5000,28,28
129,inspect_capture,main_transformer,transformer,region_main_transformer,4,31.9974,-93.4069,92.0663,169.18,0.00,0.00,28.3000,-92.7000,89.3000,29,29
130,inspect_capture,main_transformer,transformer,region_main_transformer,4,32.5974,-94.6069,89.0663,168.60,0.00,0.00,28.1000,-93.7000,86.9000,30,30
131,inspect_capture,main_transformer,transformer,region_main_transformer,4,31.3974,-100.3069,84.5663,148.30,0.00,0.00,27.5000,-97.9000,83.3000,31,31
132,inspect_capture,main_transformer,transformer,region_main_transformer,4,31.6974,-100.0069,81.8663,153.35,0.00,0.00,27.5000,-97.9000,81.3000,33,33
133,inspect_capture,main_transformer,transformer,region_main_transformer,4,31.3145,-101.0077,81.7114,148.83,0.00,0.00,27.5000,-98.7000,81.1000,34,34
